/*
From CIE's open access data sets: CIE 2006, CIE 2006 LMS cone
fundamentals for 2° field size in terms of energy, International
Commission on Illumination (CIE), Vienna, Austria, DOI:
10.25039/CIE.DS.tijidesg
    
Original data have been extrapolated and interpolated with cubic
splines on log-transformed values to 1 nm spectral resolution.

Column 1: Wavelength [nm]
Column 2: Long-wavelength cones
Column 3: Medium-wavelength cones
Column 4: Short-wavelength cones
*/

566  9.9639e-01  8.6257e-01  4.1400e-04
567  9.9790e-01  8.5118e-01  3.7594e-04
568  9.9901e-01  8.3913e-01  3.4144e-04
569  9.9971e-01  8.2654e-01  3.1016e-04
570  1.0000e+00  8.1350e-01  2.8180e-04
571  9.9984e-01  8.0008e-01  2.5608e-04
572  9.9913e-01  7.8616e-01  2.3276e-04
573  9.9773e-01  7.7163e-01  2.1161e-04
574  9.9550e-01  7.5637e-01  1.9243e-04
575  9.9232e-01  7.4029e-01  1.7504e-04
576  9.8815e-01  7.2337e-01  1.5926e-04
577  9.8335e-01  7.0589e-01  1.4494e-04
578  9.7835e-01  6.8819e-01  1.3195e-04
579  9.7357e-01  6.7056e-01  1.2016e-04
580  9.6944e-01  6.5328e-01  1.0945e-04
581  9.6622e-01  6.3653e-01  9.9736e-05
582  9.6364e-01  6.2022e-01  9.0912e-05
583  9.6128e-01  6.0422e-01  8.2897e-05
584  9.5874e-01  5.8838e-01  7.5615e-05
585  9.5561e-01  5.7260e-01  6.8999e-05
586  9.5157e-01  5.5678e-01  6.2984e-05
587  9.4665e-01  5.4089e-01  5.7516e-05
588  9.4096e-01  5.2491e-01  5.2543e-05
589  9.3459e-01  5.0881e-01  4.8019e-05
590  9.2766e-01  4.9260e-01  4.3903e-05
591  9.2025e-01  4.7626e-01  4.0155e-05
592  9.1238e-01  4.5989e-01  3.6743e-05
593  9.0405e-01  4.4355e-01  3.3635e-05
594  8.9524e-01  4.2731e-01  3.0804e-05
595  8.8597e-01  4.1124e-01  2.8223e-05
596  8.7625e-01  3.9539e-01  2.5870e-05
597  8.6612e-01  3.7978e-01  2.3724e-05
