0.7236 -0.08139 -0.6854   0.7236 -0.08139 -0.6854
-0.6212 -0.7771 0.1006   -0.6212 -0.7771 0.1006
-0.7503 -0.6499 0.1209   -0.7503 -0.6499 0.1209
-0.956 0.2879 -0.05614   -0.956 0.2879 -0.05614
-0.9094 0.3897 -0.1455   -0.9094 0.3897 -0.1455
0.1462 -0.5107 -0.8472   0.1462 -0.5107 -0.8472
0.238 -0.4801 -0.8443   0.238 -0.4801 -0.8443
0.3341 0.9422 -0.02543   0.3341 0.9422 -0.02543
0.3692 0.9291 -0.02221   0.3692 0.9291 -0.02221
0.6796 -0.3543 -0.6423   0.6796 -0.3543 -0.6423
0.4991 -0.4553 -0.7373   0.4991 -0.4553 -0.7373
-0.2607 -0.4 -0.8787   -0.2607 -0.4 -0.8787
-0.425 -0.3996 -0.8122   -0.425 -0.3996 -0.8122
0.2311 -0.6188 0.7508   0.2311 -0.6188 0.7508
0.3989 -0.4445 0.802   0.3989 -0.4445 0.802
0.7567 0.1023 0.6457   0.7567 0.1023 0.6457
0.8731 0.1094 0.4751   0.8731 0.1094 0.4751
0.8477 -0.5262 0.06771   0.8477 -0.5262 0.06771
0.9334 -0.1308 -0.3341   0.9334 -0.1308 -0.3341
0.006097 0.1199 0.9928   0.006097 0.1199 0.9928
-0.05628 0.004932 0.9984   -0.05628 0.004932 0.9984
-0.01914 -0.9344 0.3557   -0.01914 -0.9344 0.3557
-0.01844 -0.9512 0.3081   -0.01844 -0.9512 0.3081
-0.07582 0.5116 0.8559   -0.07582 0.5116 0.8559
-0.1234 0.6044 0.787   -0.1234 0.6044 0.787
-0.6809 0.2978 -0.6691   -0.6809 0.2978 -0.6691
-0.3602 0.3304 -0.8724   -0.3602 0.3304 -0.8724
-0.1926 0.3563 -0.9143   -0.1926 0.3563 -0.9143
0.2074 0.1616 -0.9648   0.2074 0.1616 -0.9648
0.2866 -0.387 -0.8764   0.2866 -0.387 -0.8764
0.2679 -0.5547 -0.7878   0.2679 -0.5547 -0.7878
-0.06695 -0.04666 -0.4933   0.1339 0.09332 0.9866
-0.2818 0.2792 -0.3044   0.5635 -0.5584 0.6089
-0.6166 0.7872 -0.009971   -0.6166 0.7872 -0.009971
-0.5653 0.8241 0.03667   -0.5653 0.8241 0.03667
0.9893 0.1453 0.01325   0.9893 0.1453 0.01325
0.7908 -0.5852 -0.1795   0.7908 -0.5852 -0.1795
0.4314 -0.2059 0.1466   -0.8628 0.4119 -0.2932
0.08024 0.1647 0.4652   -0.1605 -0.3293 -0.9305
-0.2791 0.5439 0.7914   -0.2791 0.5439 0.7914
-0.232 0.6141 0.7544   -0.232 0.6141 0.7544
0.7575 0.6464 -0.09144   0.7575 0.6464 -0.09144
0.983 0.1833 -0.005092   0.983 0.1833 -0.005092
0.4226 0.2637 -0.04263   -0.8453 -0.5275 0.08526
-0.3226 0.3706 -0.09255   0.6452 -0.7413 0.1851
-0.883 0.451 -0.1301   -0.883 0.451 -0.1301
-0.8894 0.4558 -0.03558   -0.8894 0.4558 -0.03558
0.04162 0.3583 0.9327   0.04162 0.3583 0.9327
0.2973 -0.1377 0.9448   0.2973 -0.1377 0.9448
0.1658 0.01057 0.4716   -0.3316 -0.02114 -0.9432
-0.0774 0.2849 -0.4036   0.1548 -0.5697 0.8071
-0.2089 0.4332 -0.8768   -0.2089 0.4332 -0.8768
-0.1918 0.442 -0.8763   -0.1918 0.442 -0.8763
0.04003 0.3324 -0.3714   -0.08006 -0.6648 0.7427
0.3504 0.1856 0.3046   -0.7007 -0.3712 -0.6093
0.5822 0.07593 0.8095   0.5822 0.07593 0.8095
0.6756 0.1266 0.7264   0.6756 0.1266 0.7264
0.897 0.439 -0.05209   0.897 0.439 -0.05209
0.8631 0.4612 -0.2058   0.8631 0.4612 -0.2058
0.4416 0.2169 -0.08914   -0.8832 -0.4338 0.1783
-0.3965 -0.269 0.1428   0.7931 0.5381 -0.2855
-0.818 -0.5134 0.2594   -0.818 -0.5134 0.2594
-0.818 -0.5304 0.2227   -0.818 -0.5304 0.2227
-0.3375 -0.349 -0.1197   0.6749 0.698 0.2394
0.1279 -0.1733 -0.4512   -0.2557 0.3466 0.9025
0.6084 0.008094 -0.7936   0.6084 0.008094 -0.7936
0.6289 -0.07742 -0.7736   0.6289 -0.07742 -0.7736
0.1402 -0.9771 -0.1601   0.1402 -0.9771 -0.1601
0.1382 -0.99 0.02847   0.1382 -0.99 0.02847
0.5657 -0.2665 0.7804   0.5657 -0.2665 0.7804
0.5995 -0.2211 0.7693   0.5995 -0.2211 0.7693
0.312 -0.8293 -0.4636   0.312 -0.8293 -0.4636
0.4075 -0.7981 -0.4438   0.4075 -0.7981 -0.4438
0.8895 -0.4458 0.1007   0.8895 -0.4458 0.1007
0.9019 -0.3683 0.2254   0.9019 -0.3683 0.2254
0.1686 -0.4529 0.1282   -0.3373 0.9058 -0.2564
-0.09018 -0.4828 0.09386   0.1804 0.9655 -0.1877
-0.8235 -0.5673 -0.003388   -0.8235 -0.5673 -0.003388
-0.9734 0.2107 -0.09024   -0.9734 0.2107 -0.09024
0.3179 -0.0254 -0.9478   0.3179 -0.0254 -0.9478
0.4453 -0.08492 -0.8913   0.4453 -0.08492 -0.8913
0.7183 -0.5269 0.4543   0.7183 -0.5269 0.4543
0.508 -0.4827 0.7134   0.508 -0.4827 0.7134
0.132 -0.3468 0.9286   0.132 -0.3468 0.9286
-0.1054 -0.286 0.9524   -0.1054 -0.286 0.9524
-0.1198 -0.4632 0.1453   0.2396 0.9264 -0.2905
-0.1212 -0.4806 0.06619   0.2424 0.9611 -0.1324
-0.1355 -0.6577 -0.741   -0.1355 -0.6577 -0.741
-0.1676 -0.5447 -0.8217   -0.1676 -0.5447 -0.8217
-0.4432 0.7116 -0.5452   -0.4432 0.7116 -0.5452
-0.4253 0.7585 -0.4937   -0.4253 0.7585 -0.4937
-0.1694 0.2768 -0.3804   0.3389 -0.5535 0.7608
0.1929 -0.4055 -0.2199   -0.3858 0.811 0.4399
0.4488 -0.8872 -0.1066   0.4488 -0.8872 -0.1066
0.5548 -0.8191 -0.1462   0.5548 -0.8191 -0.1462
0.8745 0.05614 -0.4818   0.8745 0.05614 -0.4818
0.8016 0.1944 -0.5654   0.8016 0.1944 -0.5654
-0.5899 -0.02182 -0.8072   -0.5899 -0.02182 -0.8072
-0.7535 -0.2087 -0.6234   -0.7535 -0.2087 -0.6234
-0.8171 -0.5317 -0.223   -0.8171 -0.5317 -0.223
-0.7834 -0.621 -0.02326   -0.7834 -0.621 -0.02326
-0.4428 -0.2249 -0.05806   0.8856 0.4497 0.1161
0.1483 0.4626 -0.1184   -0.2966 -0.9251 0.2369
0.489 0.8587 -0.1532   0.489 0.8587 -0.1532
0.4917 0.8617 -0.1251   0.4917 0.8617 -0.1251
0.1566 0.4712 0.05909   -0.3132 -0.9423 -0.1182
-0.3496 -0.1187 0.3372   0.6991 0.2375 -0.6744
-0.6847 -0.5093 0.5214   -0.6847 -0.5093 0.5214
-0.6864 -0.4713 0.5539   -0.6864 -0.4713 0.5539
0.04291 0.8499 0.5252   0.04291 0.8499 0.5252
0.07573 0.8855 0.4585   0.07573 0.8855 0.4585
-0.07857 0.4795 0.1181   0.1571 -0.9589 -0.2362
-0.3043 -0.1144 -0.3799   0.6086 0.2289 0.7598
-0.4586 -0.5205 -0.7203   -0.4586 -0.5205 -0.7203
-0.3767 -0.5485 -0.7465   -0.3767 -0.5485 -0.7465
0.9569 0.03508 -0.2883   0.9569 0.03508 -0.2883
0.9936 0.07636 0.08356   0.9936 0.07636 0.08356
0.9344 0.07055 0.3491   0.9344 0.07055 0.3491
0.7313 0.106 0.6737   0.7313 0.106 0.6737
-0.6023 0.5487 0.5798   -0.6023 0.5487 0.5798
-0.8555 0.3293 0.3995   -0.8555 0.3293 0.3995
-0.9613 0.1065 0.254   -0.9613 0.1065 0.254
-0.9889 -0.1485 0.007337   -0.9889 -0.1485 0.007337
0.2582 -0.05725 -0.9644   0.2582 -0.05725 -0.9644
0.4899 -0.1079 -0.8651   0.4899 -0.1079 -0.8651
0.8988 -0.2828 -0.3349   0.8988 -0.2828 -0.3349
0.8798 -0.4545 -0.1393   0.8798 -0.4545 -0.1393
0.1629 -0.9857 -0.04244   0.1629 -0.9857 -0.04244
-0.08038 -0.9955 0.04983   -0.08038 -0.9955 0.04983
-0.7742 -0.1865 0.6048   -0.7742 -0.1865 0.6048
-0.6541 -0.2603 0.7102   -0.6541 -0.2603 0.7102
-0.2905 -0.5693 0.7691   -0.2905 -0.5693 0.7691
0.1903 -0.6516 0.7343   0.1903 -0.6516 0.7343
0.5703 -0.5175 0.638   0.5703 -0.5175 0.638
0.792 -0.4583 0.4034   0.792 -0.4583 0.4034
0.509 -0.6675 -0.5434   0.509 -0.6675 -0.5434
0.4628 -0.7162 -0.5224   0.4628 -0.7162 -0.5224
0.4795 -0.7759 0.41   0.4795 -0.7759 0.41
0.4639 -0.6988 0.5445   0.4639 -0.6988 0.5445
0.3623 -0.2216 0.2639   -0.7246 0.4431 -0.5278
0.2234 0.431 -0.1198   -0.4468 -0.862 0.2395
0.1218 0.9082 -0.4003   0.1218 0.9082 -0.4003
-0.1682 0.6286 -0.7594   -0.1682 0.6286 -0.7594
-0.3131 -0.2575 -0.9141   -0.3131 -0.2575 -0.9141
-0.1663 -0.3301 -0.9292   -0.1663 -0.3301 -0.9292
0.4943 0.09035 -0.8646   0.4943 0.09035 -0.8646
0.1943 0.5126 -0.8364   0.1943 0.5126 -0.8364
0.7707 -0.1215 0.6255   0.7707 -0.1215 0.6255
0.7712 0.03016 0.6358   0.7712 0.03016 0.6358
0.6387 0.6951 0.3299   0.6387 0.6951 0.3299
0.8231 0.5045 0.2607   0.8231 0.5045 0.2607
0.1876 0.6839 -0.7051   0.1876 0.6839 -0.7051
0.1923 0.681 -0.7065   0.1923 0.681 -0.7065
0.8449 0.4863 0.2231   0.8449 0.4863 0.2231
0.8253 0.4123 0.3858   0.8253 0.4123 0.3858
-0.56 -0.1771 0.8093   -0.56 -0.1771 0.8093
-0.6066 -0.02938 0.7944   -0.6066 -0.02938 0.7944
-0.9497 -0.2254 -0.2176   -0.9497 -0.2254 -0.2176
-0.9073 -0.2243 -0.3558   -0.9073 -0.2243 -0.3558
-0.4195 -0.06408 -0.2644   0.839 0.1282 0.5288
0.4381 0.2176 -0.1038   -0.8761 -0.4351 0.2076
0.9258 0.3778 -0.01242   0.9258 0.3778 -0.01242
0.9287 0.3696 0.02973   0.9287 0.3696 0.02973
0.4457 0.1636 0.1568   -0.8914 -0.3272 -0.3136
-0.3124 -0.1597 0.3562   0.6248 0.3195 -0.7124
-0.7954 -0.3657 0.4833   -0.7954 -0.3657 0.4833
-0.6202 -0.59 0.517   -0.6202 -0.59 0.517
-0.3571 -0.7718 0.5262   -0.3571 -0.7718 0.5262
-0.7732 -0.6329 0.0397   -0.7732 -0.6329 0.0397
-0.6092 0.6036 0.5144   -0.6092 0.6036 0.5144
-0.5229 0.6081 0.5973   -0.5229 0.6081 0.5973
0.06565 -0.4811 0.8742   0.06565 -0.4811 0.8742
0.06873 -0.4738 0.8779   0.06873 -0.4738 0.8779
-0.4591 0.6076 0.6481   -0.4591 0.6076 0.6481
-0.3022 0.9496 -0.08325   -0.3022 0.9496 -0.08325
-0.7202 -0.6219 -0.3076   -0.7202 -0.6219 -0.3076
-0.648 -0.6932 -0.3154   -0.648 -0.6932 -0.3154
-0.006236 -0.4254 -0.2627   0.01247 0.8507 0.5255
0.3415 -0.2802 -0.2342   -0.6831 0.5604 0.4683
0.9833 -0.01235 -0.1814   0.9833 -0.01235 -0.1814
0.9855 -0.0135 -0.1692   0.9855 -0.0135 -0.1692
0.3921 -0.2733 -0.1468   -0.7843 0.5466 0.2936
-0.07393 -0.4773 -0.1292   0.1479 0.9547 0.2583
-0.6673 -0.7371 -0.1067   -0.6673 -0.7371 -0.1067
-0.6625 -0.7476 -0.04683   -0.6625 -0.7476 -0.04683
0.6733 -0.3216 0.6658   0.6733 -0.3216 0.6658
0.528 -0.3122 0.7898   0.528 -0.3122 0.7898
