/*
Absorption coefficient of pure water compiled from data presented
in the following papers:

Segelstein, D. J. (1981). The complex refractive index of water
(Doctoral dissertation, University of Missouri--Kansas City).

Wieliczka, D. M., Weng, S., & Querry, M. R. (1989). Wedge shaped cell
for highly absorbent liquids: infrared optical constants of
water. Applied optics, 28(9), 1714-1719.

Pope, R. M., & Fry, E. S. (1997). Absorption spectrum (380–700 nm) of
pure water. II. Integrating cavity measurements. Applied optics,
36(33), 8710-8723.

Sogandares, F. M., & Fry, E. S. (1997). Absorption spectrum (340–640
nm) of pure water. I. Photothermal measurements. Applied Optics,
36(33), 8699-8709.

Mason, J. D., Cone, M. T., & Fry, E. S. (2016). Ultraviolet (250–550
nm) absorption spectrum of pure water. Applied optics, 55(25),
7163-7172.

Column 1: wavelength [m].
Column 2: absorption coefficient [1/m].
*/

2.18219e-07 8.43191e-01
2.21257e-07 7.02376e-01
2.24337e-07 6.55240e-01
2.27460e-07 5.00550e-01
2.30626e-07 3.65821e-01
2.33837e-07 2.67356e-01
2.37092e-07 1.95394e-01
2.40392e-07 1.42802e-01
2.43739e-07 1.04365e-01
2.47132e-07 7.62740e-02
2.50572e-07 5.82634e-02
2.54060e-07 5.56337e-02
2.57597e-07 5.31226e-02
2.61183e-07 5.04746e-02
2.64819e-07 4.74757e-02
2.68505e-07 4.46550e-02
2.72243e-07 3.74126e-02
2.76033e-07 2.90029e-02
2.79875e-07 2.24836e-02
2.83771e-07 1.60355e-02
2.87722e-07 1.14050e-02
2.91727e-07 8.30877e-03
2.95788e-07 6.24934e-03
2.99906e-07 4.70036e-03
3.04081e-07 3.54153e-03
3.08314e-07 2.68466e-03
3.12606e-07 1.98713e-03
3.16957e-07 1.69643e-03
3.21370e-07 1.37254e-03
3.25843e-07 1.18458e-03
3.30379e-07 1.05833e-03
3.34978e-07 9.70198e-04
3.39641e-07 8.60432e-04
3.44370e-07 8.11843e-04
3.49163e-07 8.68767e-04
3.54024e-07 9.70120e-04
3.58952e-07 1.02278e-03
3.63949e-07 1.19871e-03
3.69016e-07 1.23013e-03
3.74153e-07 1.29302e-03
3.79361e-07 1.41058e-03
3.84642e-07 1.52275e-03
3.89996e-07 1.69986e-03
3.95426e-07 1.92781e-03
4.00930e-07 2.28863e-03
4.06511e-07 2.57511e-03
4.12170e-07 2.71757e-03
4.17908e-07 2.99439e-03
4.23726e-07 3.29753e-03
4.29624e-07 3.72556e-03
4.35605e-07 4.36954e-03
4.41669e-07 5.65061e-03
